ID,DESCRIPTION,IGNORED,CATEGORY,TABLE,COLUMN,LEVEL
502,Oromo,TRUE,,,,6
503,Somali,TRUE,,,,6
504,"Cushitic languages, n.i.e.",TRUE,,,,6
505,Semitic languages,TRUE,,,,5
506,Amharic,TRUE,,,,6
507,Arabic,TRUE,,,,6
508,Aramaic languages,TRUE,,,,6
509,Assyrian Neo-Aramaic,TRUE,,,,7
510,Chaldean Neo-Aramaic,TRUE,,,,7
511,"Aramaic, n.o.s.",TRUE,,,,7
512,Harari,TRUE,,,,6
513,Hebrew,TRUE,,,,6
514,Maltese,TRUE,,,,6
515,Tigrigna,TRUE,,,,6
516,"Semitic languages, n.i.e.",TRUE,,,,6
517,Austro-Asiatic languages,TRUE,,,,4
518,Khmer (Cambodian),TRUE,,,,5
519,Vietnamese,TRUE,,,,5
520,"Austro-Asiatic languages, n.i.e",TRUE,,,,5
521,Austronesian languages,TRUE,,,,4
522,Bikol,TRUE,,,,5
523,"Bisaya, n.o.s.",TRUE,,,,5
524,Cebuano,TRUE,,,,5
525,Fijian,TRUE,,,,5
526,Hiligaynon,TRUE,,,,5
527,Ilocano,TRUE,,,,5
528,Indonesian,TRUE,,,,5
529,Kankanaey,TRUE,,,,5
530,Kinaray-a,TRUE,,,,5
531,Malagasy languages,TRUE,,,,5
532,Merina,TRUE,,,,6
533,"Malagasy, n.o.s.",TRUE,,,,6
534,Malay,TRUE,,,,5
535,"Pampangan (Kapampangan, Pampango)",TRUE,,,,5
536,Pangasinan,TRUE,,,,5
537,"Tagalog (Pilipino, Filipino)",TRUE,,,,5
538,Waray-Waray,TRUE,,,,5
539,"Austronesian languages, n.i.e.",TRUE,,,,5
540,Creole languages,TRUE,,,,4
541,Haitian Creole,TRUE,,,,5
542,Jamaican English Creole,TRUE,,,,5
543,Krio,TRUE,,,,5
544,Morisyen,TRUE,,,,5
545,Sango,TRUE,,,,5
546,"Creole, n.o.s.",TRUE,,,,5
547,"Creole languages, n.i.e.",TRUE,,,,5
548,Dravidian languages,TRUE,,,,4
549,Kannada,TRUE,,,,5
550,Malayalam,TRUE,,,,5
551,Tamil,TRUE,,,,5
552,Telugu,TRUE,,,,5
553,Tulu,TRUE,,,,5
554,"Dravidian languages, n.i.e.",TRUE,,,,5
555,Georgian,TRUE,,,,4
556,Hmong-Mien languages,TRUE,,,,4
557,Indo-European languages,TRUE,,,,4
558,Albanian,TRUE,,,,5
559,Armenian,TRUE,,,,5
560,Balto-Slavic languages,TRUE,,,,5
561,Baltic languages,TRUE,,,,6
562,Latvian,TRUE,,,,7
563,Lithuanian,TRUE,,,,7
564,Slavic languages,TRUE,,,,6
565,Belarusian,TRUE,,,,7
566,Bulgarian,TRUE,,,,7
567,Czech,TRUE,,,,7
568,Macedonian,TRUE,,,,7
569,Polish,TRUE,,,,7
570,Russian,TRUE,,,,7
571,Rusyn,TRUE,,,,7
572,Serbo-Croatian,TRUE,,,,7
573,Bosnian,TRUE,,,,8
574,Croatian,TRUE,,,,8
575,Serbian,TRUE,,,,8
576,"Serbo-Croatian, n.i.e.",TRUE,,,,8
577,Slovak,TRUE,,,,7
578,Slovene (Slovenian),TRUE,,,,7
579,Ukrainian,TRUE,,,,7
580,"Slavic languages, n.i.e.",TRUE,,,,7
581,Celtic languages,TRUE,,,,5
582,Irish,TRUE,,,,6
583,Scottish Gaelic,TRUE,,,,6
584,Welsh,TRUE,,,,6
585,"Celtic languages, n.i.e.",TRUE,,,,6
586,Germanic languages,TRUE,,,,5
587,Frisian,TRUE,,,,6
588,High German languages,TRUE,,,,6
589,German,TRUE,,,,7
590,Pennsylvania German,TRUE,,,,7
591,Swiss German,TRUE,,,,7
592,Yiddish,TRUE,,,,7
593,Low Saxon-Low Franconian languages,TRUE,,,,6
594,Afrikaans,TRUE,,,,7
595,Dutch,TRUE,,,,7
596,"Low German, n.o.s.",TRUE,,,,7
597,Low Saxon,TRUE,,,,7
598,Plautdietsch,TRUE,,,,7
599,Vlaams (Flemish),TRUE,,,,7
600,Scandinavian languages,TRUE,,,,6
601,Danish,TRUE,,,,7
602,Icelandic,TRUE,,,,7
603,Norwegian,TRUE,,,,7
604,Swedish,TRUE,,,,7
605,"Germanic languages, n.i.e.",TRUE,,,,6
606,Greek,TRUE,,,,5
607,Indo-Iranian languages,TRUE,,,,5
608,Indo-Aryan languages,TRUE,,,,6
609,Assamese,TRUE,,,,7
610,Bengali,TRUE,,,,7
611,Gujarati,TRUE,,,,7
612,Hindi,TRUE,,,,7
613,Kacchi,TRUE,,,,7
614,Kashmiri,TRUE,,,,7
615,Konkani,TRUE,,,,7
616,Marathi,TRUE,,,,7
617,Nepali,TRUE,,,,7
618,Oriya languages,TRUE,,,,7
619,Odia,TRUE,,,,8
620,"Oriya, n.o.s.",TRUE,,,,8
621,Punjabi (Panjabi),TRUE,,,,7
622,Rohingya,TRUE,,,,7
623,Sindhi,TRUE,,,,7
624,Sinhala (Sinhalese),TRUE,,,,7
625,Urdu,TRUE,,,,7
626,"Indo-Aryan languages, n.i.e.",TRUE,,,,7
627,Iranian languages,TRUE,,,,6
628,Baluchi,TRUE,,,,7
629,Kurdish,TRUE,,,,7
630,Parsi,TRUE,,,,7
631,Pashto,TRUE,,,,7
632,Persian languages,TRUE,,,,7
633,Dari,TRUE,,,,8
634,Iranian Persian,TRUE,,,,8
635,"Persian (Farsi), n.o.s.",TRUE,,,,8
636,"Iranian languages, n.i.e.",TRUE,,,,7
637,"Indo-Iranian languages, n.i.e.",TRUE,,,,6
638,Italic (Romance) languages,TRUE,,,,5
639,Catalan,TRUE,,,,6
640,Italian,TRUE,,,,6
641,Portuguese,TRUE,,,,6
642,Romanian,TRUE,,,,6
643,Spanish,TRUE,,,,6
644,"Italic (Romance) languages, n.i.e.",TRUE,,,,6
645,"Indo-European languages, n.i.e.",TRUE,,,,5
646,Japanese,TRUE,,,,4
647,Korean,TRUE,,,,4
648,Mongolian,TRUE,,,,4
649,Niger-Congo languages,TRUE,,,,4
650,Akan (Twi),TRUE,,,,5
651,Bamanankan,TRUE,,,,5
652,Edo,TRUE,,,,5
653,Éwé,TRUE,,,,5
654,"Fulah (Pular, Pulaar, Fulfulde)",TRUE,,,,5
655,Ga,TRUE,,,,5
656,Ganda,TRUE,,,,5
657,Gikuyu,TRUE,,,,5
658,Igbo,TRUE,,,,5
659,Kinyarwanda (Rwanda),TRUE,,,,5
660,Lingala,TRUE,,,,5
661,Luba-Kasai,TRUE,,,,5
662,Mòoré,TRUE,,,,5
663,Mwani,TRUE,,,,5
664,Ndebele,TRUE,,,,5
665,Rundi (Kirundi),TRUE,,,,5
666,Shona,TRUE,,,,5
667,Soninke,TRUE,,,,5
668,Sotho-Tswana languages,TRUE,,,,5
669,Swahili,TRUE,,,,5
670,Wojenaka,TRUE,,,,5
671,Wolof,TRUE,,,,5
672,Yoruba,TRUE,,,,5
673,"Niger-Congo languages, n.i.e.",TRUE,,,,5
674,Nilo-Saharan languages,TRUE,,,,4
675,Dinka,TRUE,,,,5
676,Nuer,TRUE,,,,5
677,"Nilo-Saharan languages, n.i.e.",TRUE,,,,5
678,"African, n.o.s.",TRUE,,,,5
679,Sign languages,TRUE,,,,4
680,American Sign Language,TRUE,,,,5
681,Quebec Sign Language,TRUE,,,,5
682,"Sign languages, n.i.e.",TRUE,,,,5
683,Sino-Tibetan languages,TRUE,,,,4
684,Chinese languages,TRUE,,,,5
685,Hakka,TRUE,,,,6
686,Mandarin,TRUE,,,,6
687,Min Dong,TRUE,,,,6
688,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",TRUE,,,,6
689,Wu (Shanghainese),TRUE,,,,6
690,Yue (Cantonese),TRUE,,,,6
691,"Chinese, n.o.s.",TRUE,,,,6
692,"Chinese languages, n.i.e.",TRUE,,,,6
693,Tibeto-Burman languages,TRUE,,,,5
694,Burmese,TRUE,,,,6
695,Kuki-Chin languages,TRUE,,,,6
696,Karenic languages,TRUE,,,,6
697,S'gaw Karen,TRUE,,,,7
698,"Karenic languages, n.i.e.",TRUE,,,,7
699,Tibetan,TRUE,,,,6
700,"Tibeto-Burman languages, n.i.e.",TRUE,,,,6
701,"Sino-Tibetan languages, n.i.e.",TRUE,,,,5
702,Tai-Kadai languages,TRUE,,,,4
703,Lao,TRUE,,,,5
704,Thai,TRUE,,,,5
705,"Tai-Kadai languages, n.i.e.",TRUE,,,,5
706,Turkic languages,TRUE,,,,4
707,Azerbaijani,TRUE,,,,5
708,Kazakh,TRUE,,,,5
709,Turkish,TRUE,,,,5
710,Uyghur,TRUE,,,,5
711,Uzbek,TRUE,,,,5
712,"Turkic languages, n.i.e.",TRUE,,,,5
713,Uralic languages,TRUE,,,,4
714,Estonian,TRUE,,,,5
715,Finnish,TRUE,,,,5
716,Hungarian,TRUE,,,,5
717,"Other languages, n.i.e.",TRUE,,,,4
718,Multiple responses,TRUE,,,,1
719,English and French,TRUE,,,,2
720,English and non-official language(s),TRUE,,,,2
721,French and non-official language(s),TRUE,,,,2
722,"English, French and non-official language(s)",TRUE,,,,2
723,Multiple non-official languages,TRUE,,,,2
724,Total - All languages spoken at home for the total population excluding institutional residents - 100% data (40),TRUE,,,,0
725,English,TRUE,,,,1
726,French,TRUE,,,,1
727,Non-official language,TRUE,,,,1
728,Indigenous (39),TRUE,,,,2
729,Non-Indigenous,TRUE,,,,2
730,English and French,TRUE,,,,1
731,English and non-official language(s),TRUE,,,,1
732,French and non-official language(s),TRUE,,,,1
733,"English, French and non-official language(s)",TRUE,,,,1
734,Multiple non-official languages,TRUE,,,,1
735,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data (41),FALSE,,,,0
736,Single responses,FALSE,,,,1
737,Official languages,FALSE,,,,2
738,English,FALSE,,,,3
739,French,FALSE,,,,3
740,Non-official languages,FALSE,,,,2
741,Indigenous languages (39),FALSE,,,,3
742,Algonquian languages,FALSE,,,,4
743,Blackfoot,TRUE,,,,5
744,Cree-Innu languages,TRUE,,,,5
745,Atikamekw,TRUE,,,,6
746,Cree languages,TRUE,,,,6
747,Ililimowin (Moose Cree),TRUE,,,,7
748,Inu Ayimun (Southern East Cree),TRUE,,,,7
749,Iyiyiw-Ayimiwin (Northern East Cree),TRUE,,,,7
750,Nehinawewin (Swampy Cree),TRUE,,,,7
751,Nehiyawewin (Plains Cree),TRUE,,,,7
752,Nihithawiwin (Woods Cree),TRUE,,,,7
753,"Cree, n.o.s.",TRUE,,,,7
754,Innu (Montagnais),TRUE,,,,6
755,Naskapi,TRUE,,,,6
756,Eastern Algonquian languages,TRUE,,,,5
757,Mi'kmaq,TRUE,,,,6
758,Wolastoqewi (Malecite),TRUE,,,,6
759,Ojibway-Potawatomi languages,TRUE,,,,5
760,Anicinabemowin (Algonquin),TRUE,,,,6
761,Oji-Cree,TRUE,,,,6
762,Ojibway languages,TRUE,,,,6
763,Anishinaabemowin (Chippewa),TRUE,,,,7
764,Daawaamwin (Odawa),TRUE,,,,7
765,Saulteau (Western Ojibway),TRUE,,,,7
766,"Ojibway, n.o.s.",TRUE,,,,7
767,"Algonquian languages, n.i.e.",TRUE,,,,5
768,Athabaskan languages,FALSE,,,,4
769,Northern Athabaskan languages,TRUE,,,,5
770,Dakelh (Carrier),TRUE,,,,6
771,Dane-zaa (Beaver),TRUE,,,,6
772,"Dene, n.o.s.",TRUE,,,,6
773,Gwich'in,TRUE,,,,6
774,Slavey-Hare languages,TRUE,,,,6
775,Deh Gah Ghotie Zhatie (South Slavey),TRUE,,,,7
776,Satuotine Yati (North Slavey),TRUE,,,,7
777,"Slavey, n.o.s.",TRUE,,,,7
778,Tahltan languages,TRUE,,,,6
779,Kaska (Nahani),TRUE,,,,7
780,Tahltan,TRUE,,,,7
781,Tlicho (Dogrib),TRUE,,,,6
782,Tse'khene (Sekani),TRUE,,,,6
783,Tsilhqot'in (Chilcotin),TRUE,,,,6
784,Tsuu T'ina (Sarsi),TRUE,,,,6
785,Tutchone languages,TRUE,,,,6
786,Northern Tutchone,TRUE,,,,7
787,Southern Tutchone,TRUE,,,,7
788,"Tutchone, n.o.s.",TRUE,,,,7
789,Wetsuwet'en-Babine,TRUE,,,,6
790,Tlingit,TRUE,,,,5
791,"Athabaskan languages, n.i.e.",TRUE,,,,5
792,Haida,FALSE,,,,4
793,Inuktut (Inuit) languages,FALSE,,,,4
794,Inuinnaqtun (Inuvialuktun),TRUE,,,,5
795,Inuinnaqtun,TRUE,,,,6
796,Inuvialuktun,TRUE,,,,6
797,Inuktitut,TRUE,,,,5
798,"Inuktut (Inuit) languages, n.i.e.",TRUE,,,,5
799,Iroquoian languages,FALSE,,,,4
800,Cayuga,TRUE,,,,5
801,Mohawk,TRUE,,,,5
802,Oneida,TRUE,,,,5
803,"Iroquoian languages, n.i.e.",TRUE,,,,5
804,Ktunaxa (Kutenai),FALSE,,,,4
805,Michif,FALSE,,,,4
806,Salish languages,FALSE,,,,4
807,Halkomelem,TRUE,,,,5
808,Lillooet,TRUE,,,,5
809,Ntlakapamux (Thompson),TRUE,,,,5
810,Secwepemctsin (Shuswap),TRUE,,,,5
811,Squamish,TRUE,,,,5
812,Straits,TRUE,,,,5
813,Syilx (Okanagan),TRUE,,,,5
814,"Salish languages, n.i.e.",TRUE,,,,5
815,Siouan languages,FALSE,,,,4
816,Assiniboine,TRUE,,,,5
817,Dakota,TRUE,,,,5
818,Stoney,TRUE,,,,5
819,"Siouan languages, n.i.e.",TRUE,,,,5
820,Tsimshian languages,FALSE,,,,4
821,Gitxsan (Gitksan),TRUE,,,,5
822,Nisga'a,TRUE,,,,5
823,Tsimshian,TRUE,,,,5
824,Wakashan languages,FALSE,,,,4
825,Haisla,TRUE,,,,5
826,Heiltsuk,TRUE,,,,5
827,Kwak'wala (Kwakiutl),TRUE,,,,5
828,Nuu-chah-nulth (Nootka),TRUE,,,,5
829,"Wakashan languages, n.i.e.",TRUE,,,,5
830,"Indigenous languages, n.i.e.",FALSE,,,,4
831,"Indigenous languages, n.o.s.",FALSE,,,,4
832,Non-Indigenous languages,FALSE,,,,3
833,Afro-Asiatic languages,FALSE,,,,4
834,Berber languages,FALSE,,,,5
835,Kabyle,TRUE,,,,6
836,Tamazight,TRUE,,,,6
837,"Berber languages, n.i.e.",TRUE,,,,6
838,Chadic languages,FALSE,,,,5
839,Hausa,TRUE,,,,6
840,Mina,TRUE,,,,6
841,Coptic,FALSE,,,,5
842,Cushitic languages,FALSE,,,,5
843,Bilen,TRUE,,,,6
844,Oromo,TRUE,,,,6
845,Somali,TRUE,,,,6
846,"Cushitic languages, n.i.e.",TRUE,,,,6
847,Semitic languages,FALSE,,,,5
848,Amharic,TRUE,,,,6
849,Arabic,TRUE,,,,6
850,Aramaic languages,TRUE,,,,6
851,Assyrian Neo-Aramaic,TRUE,,,,7
852,Chaldean Neo-Aramaic,TRUE,,,,7
853,"Aramaic, n.o.s.",TRUE,,,,7
854,Harari,TRUE,,,,6
855,Hebrew,TRUE,,,,6
856,Maltese,TRUE,,,,6
857,Tigrigna,TRUE,,,,6
858,"Semitic languages, n.i.e.",TRUE,,,,6
859,Austro-Asiatic languages,FALSE,,,,4
860,Khmer (Cambodian),FALSE,,,,5
861,Vietnamese,FALSE,,,,5
862,"Austro-Asiatic languages, n.i.e",FALSE,,,,5
863,Austronesian languages,FALSE,,,,4
864,Bikol,FALSE,,,,5
865,"Bisaya, n.o.s.",FALSE,,,,5
866,Cebuano,FALSE,,,,5
867,Fijian,FALSE,,,,5
868,Hiligaynon,FALSE,,,,5
869,Ilocano,FALSE,,,,5
870,Indonesian,FALSE,,,,5
871,Kankanaey,FALSE,,,,5
872,Kinaray-a,FALSE,,,,5
873,Malagasy languages,FALSE,,,,5
874,Merina,TRUE,,,,6
875,"Malagasy, n.o.s.",TRUE,,,,6
876,Malay,FALSE,,,,5
877,"Pampangan (Kapampangan, Pampango)",FALSE,,,,5
878,Pangasinan,FALSE,,,,5
879,"Tagalog (Pilipino, Filipino)",FALSE,,,,5
880,Waray-Waray,FALSE,,,,5
881,"Austronesian languages, n.i.e.",FALSE,,,,5
882,Creole languages,FALSE,,,,4
883,Haitian Creole,FALSE,,,,5
884,Jamaican English Creole,FALSE,,,,5
885,Krio,FALSE,,,,5
886,Morisyen,FALSE,,,,5
887,Sango,FALSE,,,,5
888,"Creole, n.o.s.",FALSE,,,,5
889,"Creole languages, n.i.e.",FALSE,,,,5
890,Dravidian languages,FALSE,,,,4
891,Kannada,FALSE,,,,5
892,Malayalam,FALSE,,,,5
893,Tamil,FALSE,,,,5
894,Telugu,FALSE,,,,5
895,Tulu,FALSE,,,,5
896,"Dravidian languages, n.i.e.",FALSE,,,,5
897,Georgian,FALSE,,,,4
898,Hmong-Mien languages,FALSE,,,,4
899,Indo-European languages,FALSE,,,,4
900,Albanian,FALSE,,,,5
901,Armenian,FALSE,,,,5
902,Balto-Slavic languages,FALSE,,,,5
903,Baltic languages,FALSE,,,,6
904,Latvian,FALSE,,,,7
905,Lithuanian,FALSE,,,,7
906,Slavic languages,FALSE,,,,6
907,Belarusian,FALSE,,,,7
908,Bulgarian,FALSE,,,,7
909,Czech,FALSE,,,,7
910,Macedonian,FALSE,,,,7
911,Polish,FALSE,,,,7
912,Russian,FALSE,,,,7
913,Rusyn,FALSE,,,,7
914,Serbo-Croatian,FALSE,,,,7
915,Bosnian,TRUE,,,,8
916,Croatian,TRUE,,,,8
917,Serbian,TRUE,,,,8
918,"Serbo-Croatian, n.i.e.",TRUE,,,,8
919,Slovak,FALSE,,,,7
920,Slovene (Slovenian),FALSE,,,,7
921,Ukrainian,FALSE,,,,7
922,"Slavic languages, n.i.e.",FALSE,,,,7
923,Celtic languages,FALSE,,,,5
924,Irish,FALSE,,,,6
925,Scottish Gaelic,FALSE,,,,6
926,Welsh,FALSE,,,,6
927,"Celtic languages, n.i.e.",FALSE,,,,6
928,Germanic languages,FALSE,,,,5
929,Frisian,FALSE,,,,6
930,High German languages,FALSE,,,,6
931,German,TRUE,,,,7
932,Pennsylvania German,TRUE,,,,7
933,Swiss German,TRUE,,,,7
934,Yiddish,TRUE,,,,7
935,Low Saxon-Low Franconian languages,FALSE,,,,6
936,Afrikaans,TRUE,,,,7
937,Dutch,TRUE,,,,7
938,"Low German, n.o.s.",TRUE,,,,7
939,Low Saxon,TRUE,,,,7
940,Plautdietsch,TRUE,,,,7
941,Vlaams (Flemish),TRUE,,,,7
942,Scandinavian languages,FALSE,,,,6
943,Danish,FALSE,,,,7
944,Icelandic,FALSE,,,,7
945,Norwegian,FALSE,,,,7
946,Swedish,FALSE,,,,7
947,"Germanic languages, n.i.e.",FALSE,,,,6
948,Greek,FALSE,,,,5
949,Indo-Iranian languages,FALSE,,,,5
950,Indo-Aryan languages,FALSE,,,,6
951,Assamese,TRUE,,,,7
952,Bengali,TRUE,,,,7
953,Gujarati,TRUE,,,,7
954,Hindi,TRUE,,,,7
955,Kacchi,TRUE,,,,7
956,Kashmiri,TRUE,,,,7
957,Konkani,TRUE,,,,7
958,Marathi,TRUE,,,,7
959,Nepali,TRUE,,,,7
960,Oriya languages,TRUE,,,,7
961,Odia,TRUE,,,,8
962,"Oriya, n.o.s.",TRUE,,,,8
963,Punjabi (Panjabi),TRUE,,,,7
964,Rohingya,TRUE,,,,7
965,Sindhi,TRUE,,,,7
966,Sinhala (Sinhalese),TRUE,,,,7
967,Urdu,TRUE,,,,7
968,"Indo-Aryan languages, n.i.e.",TRUE,,,,7
969,Iranian languages,FALSE,,,,6
970,Baluchi,TRUE,,,,7
971,Kurdish,TRUE,,,,7
972,Parsi,TRUE,,,,7
973,Pashto,TRUE,,,,7
974,Persian languages,TRUE,,,,7
975,Dari,TRUE,,,,8
976,Iranian Persian,TRUE,,,,8
977,"Persian (Farsi), n.o.s.",TRUE,,,,8
978,"Iranian languages, n.i.e.",TRUE,,,,7
979,"Indo-Iranian languages, n.i.e.",FALSE,,,,6
980,Italic (Romance) languages,FALSE,,,,5
981,Catalan,FALSE,,,,6
982,Italian,FALSE,,,,6
983,Portuguese,FALSE,,,,6
984,Romanian,FALSE,,,,6
985,Spanish,FALSE,,,,6
986,"Italic (Romance) languages, n.i.e.",FALSE,,,,6
987,"Indo-European languages, n.i.e.",FALSE,,,,5
988,Japanese,FALSE,,,,4
989,Korean,FALSE,,,,4
990,Mongolian,FALSE,,,,4
991,Niger-Congo languages,FALSE,,,,4
992,Akan (Twi),TRUE,,,,5
993,Bamanankan,TRUE,,,,5
994,Edo,TRUE,,,,5
995,Éwé,TRUE,,,,5
996,"Fulah (Pular, Pulaar, Fulfulde)",TRUE,,,,5
997,Ga,TRUE,,,,5
998,Ganda,TRUE,,,,5
999,Gikuyu,TRUE,,,,5
1000,Igbo,TRUE,,,,5
1001,Kinyarwanda (Rwanda),TRUE,,,,5
1002,Lingala,TRUE,,,,5
1003,Luba-Kasai,TRUE,,,,5
1004,Mòoré,TRUE,,,,5
1005,Mwani,TRUE,,,,5
1006,Ndebele,TRUE,,,,5
1007,Rundi (Kirundi),TRUE,,,,5
1008,Shona,TRUE,,,,5
1009,Soninke,TRUE,,,,5
1010,Sotho-Tswana languages,TRUE,,,,5
1011,Swahili,TRUE,,,,5
1012,Wojenaka,TRUE,,,,5
1013,Wolof,TRUE,,,,5
1014,Yoruba,TRUE,,,,5
1015,"Niger-Congo languages, n.i.e.",TRUE,,,,5
1016,Nilo-Saharan languages,FALSE,,,,4
1017,Dinka,TRUE,,,,5
1018,Nuer,TRUE,,,,5
1019,"Nilo-Saharan languages, n.i.e.",TRUE,,,,5
1020,"African, n.o.s.",TRUE,,,,5
1021,Sign languages,FALSE,,,,4
1022,American Sign Language,TRUE,,,,5
1023,Quebec Sign Language,TRUE,,,,5
1024,"Sign languages, n.i.e.",TRUE,,,,5
1025,Sino-Tibetan languages,FALSE,,,,4
1026,Chinese languages,FALSE,,,,5
1027,Hakka,TRUE,,,,6
1028,Mandarin,TRUE,,,,6
1029,Min Dong,TRUE,,,,6
1030,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",TRUE,,,,6
1031,Wu (Shanghainese),TRUE,,,,6
1032,Yue (Cantonese),TRUE,,,,6
1033,"Chinese, n.o.s.",TRUE,,,,6
1034,"Chinese languages, n.i.e.",TRUE,,,,6
1035,Tibeto-Burman languages,FALSE,,,,5
1036,Burmese,TRUE,,,,6
1037,Kuki-Chin languages,TRUE,,,,6
1038,Karenic languages,TRUE,,,,6
1039,S'gaw Karen,TRUE,,,,7
1040,"Karenic languages, n.i.e.",TRUE,,,,7
1041,Tibetan,TRUE,,,,6
1042,"Tibeto-Burman languages, n.i.e.",TRUE,,,,6
1043,"Sino-Tibetan languages, n.i.e.",FALSE,,,,5
1044,Tai-Kadai languages,FALSE,,,,4
1045,Lao,FALSE,,,,5
1046,Thai,FALSE,,,,5
1047,"Tai-Kadai languages, n.i.e.",FALSE,,,,5
1048,Turkic languages,FALSE,,,,4
1049,Azerbaijani,TRUE,,,,5
1050,Kazakh,TRUE,,,,5
1051,Turkish,TRUE,,,,5
1052,Uyghur,TRUE,,,,5
1053,Uzbek,TRUE,,,,5
1054,"Turkic languages, n.i.e.",TRUE,,,,5
1055,Uralic languages,FALSE,,,,4
1056,Estonian,FALSE,,,,5
1057,Finnish,FALSE,,,,5
1058,Hungarian,FALSE,,,,5
1059,"Other languages, n.i.e.",FALSE,,,,4
1060,Multiple responses,FALSE,,,,1
1061,English and French,FALSE,,,,2
1062,English and non-official language(s),FALSE,,,,2
1063,French and non-official language(s),FALSE,,,,2
1064,"English, French and non-official language(s)",FALSE,,,,2
1065,Multiple non-official languages,FALSE,,,,2
1066,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data (42),TRUE,,,,0
1067,None,TRUE,,,,1
1068,English,TRUE,,,,1
1069,French,TRUE,,,,1
1070,Non-official language,TRUE,,,,1
1071,Indigenous (39),TRUE,,,,2
1072,Non-Indigenous,TRUE,,,,2
1073,English and French,TRUE,,,,1
1074,English and non-official language(s),TRUE,,,,1
1075,French and non-official language(s),TRUE,,,,1
1076,"English, French and non-official language(s)",TRUE,,,,1
1077,Multiple non-official languages,TRUE,,,,1
1078,Total - Knowledge of languages for the population in private households - 25% sample data (43),TRUE,,,,0
1079,Official languages,TRUE,,,,1
1080,English,TRUE,,,,2
1081,French,TRUE,,,,2
1082,Non-official languages,TRUE,,,,1
1083,Indigenous languages (39),TRUE,,,,2
1084,Algonquian languages,TRUE,,,,3
1085,Blackfoot,TRUE,,,,4
1086,Cree-Innu languages,TRUE,,,,4
1087,Atikamekw,TRUE,,,,5
1088,Cree languages,TRUE,,,,5
1089,Ililimowin (Moose Cree),TRUE,,,,6
1090,Inu Ayimun (Southern East Cree),TRUE,,,,6
1091,Iyiyiw-Ayimiwin (Northern East Cree),TRUE,,,,6
1092,Nehinawewin (Swampy Cree),TRUE,,,,6
1093,Nehiyawewin (Plains Cree),TRUE,,,,6
1094,Nihithawiwin (Woods Cree),TRUE,,,,6
1095,"Cree, n.o.s.",TRUE,,,,6
1096,Innu (Montagnais),TRUE,,,,5
1097,Naskapi,TRUE,,,,5
1098,Eastern Algonquian languages,TRUE,,,,4
1099,Mi'kmaq,TRUE,,,,5
1100,Wolastoqewi (Malecite),TRUE,,,,5
1101,Ojibway-Potawatomi languages,TRUE,,,,4
1102,Anicinabemowin (Algonquin),TRUE,,,,5
1103,Oji-Cree,TRUE,,,,5
1104,Ojibway languages,TRUE,,,,5
1105,Anishinaabemowin (Chippewa),TRUE,,,,6
1106,Daawaamwin (Odawa),TRUE,,,,6
1107,Saulteau (Western Ojibway),TRUE,,,,6
1108,"Ojibway, n.o.s.",TRUE,,,,6
1109,"Algonquian languages, n.i.e.",TRUE,,,,4
1110,Athabaskan languages,TRUE,,,,3
1111,Northern Athabaskan languages,TRUE,,,,4
1112,Dakelh (Carrier),TRUE,,,,5
1113,Dane-zaa (Beaver),TRUE,,,,5
1114,"Dene, n.o.s.",TRUE,,,,5
1115,Gwich'in,TRUE,,,,5
1116,Slavey-Hare languages,TRUE,,,,5
1117,Deh Gah Ghotie Zhatie (South Slavey),TRUE,,,,6
1118,Satuotine Yati (North Slavey),TRUE,,,,6
1119,"Slavey, n.o.s.",TRUE,,,,6
1120,Tahltan languages,TRUE,,,,5
1121,Kaska (Nahani),TRUE,,,,6
1122,Tahltan,TRUE,,,,6
1123,Tlicho (Dogrib),TRUE,,,,5
1124,Tse'khene (Sekani),TRUE,,,,5
1125,Tsilhqot'in (Chilcotin),TRUE,,,,5
1126,Tsuu T'ina (Sarsi),TRUE,,,,5
1127,Tutchone languages,TRUE,,,,5
1128,Northern Tutchone,TRUE,,,,6
1129,Southern Tutchone,TRUE,,,,6
1130,"Tutchone, n.o.s.",TRUE,,,,6
1131,Wetsuwet'en-Babine,TRUE,,,,5
1132,Tlingit,TRUE,,,,4
1133,"Athabaskan languages, n.i.e.",TRUE,,,,4
1134,Haida,TRUE,,,,3
1135,Inuktut (Inuit) languages,TRUE,,,,3
1136,Inuinnaqtun (Inuvialuktun),TRUE,,,,4
1137,Inuinnaqtun,TRUE,,,,5
1138,Inuvialuktun,TRUE,,,,5
1139,Inuktitut,TRUE,,,,4
1140,"Inuktut (Inuit) languages, n.i.e.",TRUE,,,,4
1141,Iroquoian languages,TRUE,,,,3
1142,Cayuga,TRUE,,,,4
1143,Mohawk,TRUE,,,,4
1144,Oneida,TRUE,,,,4
1145,"Iroquoian languages, n.i.e.",TRUE,,,,4
1146,Ktunaxa (Kutenai),TRUE,,,,3
1147,Michif,TRUE,,,,3
1148,Salish languages,TRUE,,,,3
1149,Halkomelem,TRUE,,,,4
1150,Lillooet,TRUE,,,,4
1151,Ntlakapamux (Thompson),TRUE,,,,4
1152,Secwepemctsin (Shuswap),TRUE,,,,4
